artists,name,danceability,energy,popularity,year
['Armin van Buuren'],Let The Music Guide You (ASOT 950 Anthem),0.536,0.9159999999999999,14,2019
"['MaRLo', 'HALIENE']",Whisper (Mixed),0.534,0.865,23,2019
['Armin van Buuren'],Stickup,0.667,0.855,13,2019
"['Diplo', 'SIDEPIECE']",On My Mind,0.7709999999999999,0.731,71,2019
"['Roman Messer', 'Cari']",Serenity,0.504,0.98,26,2019
"['Richard Durand', 'Christina Novelli']",Save You,0.516,0.882,34,2019
['Armin van Buuren'],Stickup (Mixed),0.47700000000000004,0.992,18,2019
['Mark Sherry'],Triquetra (Mixed),0.45799999999999996,0.955,19,2019
"['Armin van Buuren', 'AVIAN GRAYS', 'Jordan Shaw']",Something Real (Mixed),0.48,0.64,22,2019
['Armin van Buuren'],Turn It Up,0.5820000000000001,0.953,11,2019
"['Key4050', 'Plumb']",I Love You,0.537,0.987,25,2019
['Giuseppe Ottaviani'],Panama,0.423,0.97,21,2019
"['Markus Schulz', 'Lachi', 'Fisherman']",Far - Fisherman Festival Mix,0.515,0.8009999999999999,13,2019
"['Omnia', 'Whiteout']",U (Mixed),0.439,0.8490000000000001,26,2019
"['Maarten de Jong', 'Allen Watts']",Caffeine (Mixed),0.35700000000000004,0.9359999999999999,22,2019
"['GXD', 'Elle Vee']",Voices (Mixed),0.483,0.953,23,2019
['Pink Floyd'],Comfortably Numb - 2019 remix [Live],0.193,0.643,31,2019
"['Maor Levi', 'OTIOT']",Aria (Mixed),0.446,0.934,24,2019
['Estiva'],Sequence (Mixed),0.54,0.955,24,2019
['Ben Gold'],The City Sleeps Tonight (Mixed),0.518,0.9129999999999999,22,2019
"['Space Corps', 'Karra']",Gravity (Mixed),0.672,0.507,24,2019
['Super8 & Tab'],Iron (Mixed),0.43700000000000006,0.882,24,2019
"['Above & Beyond', 'Marty Longstaff']",Flying By Candlelight (Mixed) - Above & Beyond Club Mix,0.494,0.9209999999999999,26,2019
